Sample_code,Method,Spike,Water_type,Volume,Replicate,N1_Rec%,Flu-A_Rec%,Flu-B_Rec%,Phi6_Rec%,NoVGII_Rec%,MeV_Rec%,RoV_Rec%,MNV Rec%,CrAss_Rec%,AdV_Rec%,PMMoV_Rec%
PEG_50_S_DW,PEG,S,DW,37.5,1,1.520580745,0.1895281,0.521193103,3.385971423,5.668900116,2.106748373,1.389992531,,17723.58998,,
PEG_50_S_DW,PEG,S,DW,37.5,2,1.617528271,0.201611825,0.554422763,2.441093983,5.925581289,2.967618293,1.480756585,,18438.51538,,
PEG_50_S_DW,PEG,S,DW,37.5,3,1.593460999,0.198612034,0.546173483,2.424498033,6.930086372,3.228163029,1.873755918,0.929128898,16547.61514,,
Pellet_PEG_50_S_DW,Pellet,S,DW,50,1,1.140435559,0.142146075,0.390894827,,0.326304851,0.173551665,,,13292.69249,,
Pellet_PEG_50_S_DW,Pellet,S,DW,50,2,1.213146203,0.151208869,0.415817072,1.830820487,0.511415246,0.15831673,,0.280605415,13828.88653,,
Pellet_PEG_50_S_DW,Pellet,S,DW,50,3,1.19509575,0.148959026,0.409630112,1.818373525,0.510295184,0.264928383,,0.506138976,12410.71136,,
SEPA_20_S_DW,Amicon,S,DW,15,1,52.94692467,49.45134337,33.29051731,70.77480731,94.63973194,44.63718315,40.54911315,68.47847735,,,
SEPA_20_S_DW,Amicon,S,DW,15,2,62.58919008,55.54277174,39.43353053,87.56985331,111.3551924,38.52374621,54.65149987,83.01901117,,,
SEPA_20_S_DW,Amicon,S,DW,15,3,52.49170231,58.87307944,40.34973841,78.12795672,99.16187469,54.81899191,48.65121172,92.72797557,,,
SEPA_50_S_DW,Amicon,S,DW,20,1,64.70548689,71.64241739,48.58048112,86.36652162,144.5034483,71.36942787,54.51557343,74.37078861,,,
SEPA_50_S_DW,Amicon,S,DW,20,2,66.52280938,73.24758812,50.59625029,100.9378571,158.9305866,81.10902228,73.14360004,101.0695592,5.773415904,,
SEPA_50_S_DW,Amicon,S,DW,20,3,66.83960036,72.72868706,50.21079815,96.17989192,150.1595988,89.22919243,72.56163598,84.54202607,,,
AS_20_S_WW,AS,S,WW,15,1,7.357049456,5.123771235,4.097368041,18.86790025,4.922991789,5.228729793,6.444419083,0.377673712,1.853732,1.424687631,6.977712203
AS_20_S_WW,AS,S,WW,15,2,7.424722198,5.031521319,4.033008226,15.41127473,4.040215812,5.89619996,6.31186621,4.56929746,1.176391601,1.458214929,8.011411786
AS_20_S_WW,AS,S,WW,15,3,8.816080818,7.122125467,5.04834727,17.03676118,6.713207506,5.11495562,9.152909282,6.117501947,2.053052549,2.029249373,8.558416811
AS_200_S_WW,AS,S,WW,150,1,1.571773505,1.447558799,1.002154624,3.935492035,1.144771326,1.184087274,1.128584194,,0.463782542,0.203300837,1.932652258
AS_200_S_WW,AS,S,WW,150,2,1.505218358,1.171550778,0.873477855,3.473310547,1.265994473,1.059758394,0.60863753,1.97456068,0.459525017,0.303646884,1.631787862
